year,id,wine_id,vintage_ratings_count,vintage_ratings_average
2018,166343359,8962159,175,3.2
2018,166343913,8962365,61,3.1
2017,166344206,8962475,38,4.6
2020,166356096,8966384,118,4.0
2015,166356288,8966457,147,3.5
2019,166356504,8966542,38,4.0
2015,166376260,8966728,102,4.4
2019,166357135,8966810,10,3.4
2019,166295164,8966861,16,3.5
2018,166551571,8966904,33,3.7
2018,166360574,8968021,21,3.8
2019,166360786,8968084,45,3.6
2018,166367656,8970566,20,4.2
2018,166368048,8970746,20,3.7
2019,166368101,8970763,19,4.2
2019,166380532,8970902,62,4.0
2019,166398066,8970943,179,4.0
2017,166368542,8970968,33,3.6
2016,166368734,8971057,55,3.7
2018,166368874,8971110,44,3.9
2019,166391573,8971136,10,4.2
2018,166368935,8971136,11,4.7
2018,166369000,8971164,48,3.8
2019,166369059,8971185,10,3.8
2018,166384042,8971332,114,4.1
2020,166578314,8971411,94,3.5
2019,166387088,8971411,76,3.7
2019,166369826,8971481,33,3.8
2017,166369935,8971515,254,4.1
2016,166374665,8973089,77,3.8
2019,166397668,8973096,28,4.1
2018,166386569,8973096,83,3.9
2017,166416570,8973096,11,3.5
2016,166374736,8973121,47,3.9
2016,166374801,8973143,250,3.7
2019,166406538,8973164,17,3.3
2018,166374864,8973164,55,2.8
2018,166375111,8973261,38,3.5
2019,166375256,8973325,17,3.6
2018,166375363,8973374,23,4.7
2019,166375496,8973434,26,3.2
2019,166375720,8973520,12,3.6
2019,166376032,8973657,15,4.0
2018,166394675,8973689,10,3.0
2012,166376293,8973751,13,4.0
2019,166630754,8973874,11,3.1
2019,166376913,8973969,29,3.7
2018,166377078,8974023,17,4.0
2019,166377370,8974115,10,3.7
2017,166377425,8974140,107,3.8
2019,166377491,8974158,186,3.9
2016,166383567,8974244,419,4.1
2019,166382741,8974304,22,3.8
2018,166383494,8975734,22,3.4
2019,166398916,8975743,12,3.9
2018,166382454,8975743,19,3.7
2020,167310510,8975920,21,4.3
2019,166382889,8975920,56,4.2
2018,166399404,8975923,47,3.8
2016,166399294,8975923,33,3.2
2019,166382899,8975926,36,3.5
2018,166382925,8975939,39,3.5
2019,166382960,8975952,11,2.8
2018,166382962,8975953,35,4.0
2018,166382968,8975956,27,3.4
2016,166437861,8975972,40,3.0
2018,166383020,8975986,13,4.2
2016,166398917,8975997,38,3.2
2018,166383069,8976010,27,4.0
2019,166383118,8976033,14,4.2
2019,166434754,8976040,75,4.1
2018,166383131,8976040,193,4.1
2016,166407692,8976040,13,4.0
2019,166324567,8976147,15,3.7
2017,166383485,8976200,73,3.9
2019,166325426,8976202,22,3.4
2019,166325417,8976227,81,3.9
2019,166410978,8976268,109,3.9
2020,166749858,8976313,32,3.7
2019,166404037,8976313,55,3.8
2018,166383835,8976313,24,4.1
2019,166384614,8976615,14,3.7
2018,166409805,8976837,16,3.6
2018,166470036,8976869,11,3.8
2019,166386231,8977183,13,4.0
2019,166386880,8977411,12,3.5
2019,166386938,8977426,16,4.0
2016,166403459,8977431,72,3.6
2019,166387807,8977721,93,3.9
2020,166402589,8979024,240,3.4
2019,166459872,8979024,55,3.3
2019,166391727,8979034,132,3.9
2019,166415481,8979183,78,3.8
2018,166392213,8979236,424,3.8
