id,full_name,name,type_id,type,wine_region,winery,winery_region,country,ratings_count,ratings_average,alcohol,acidity,fizziness,intensity,sweetness,tannin,url
18212,Dutschke Sun-Dried Shiraz,Sun-Dried Shiraz,7,Dessert Wine,South Australia,Dutschke,Barossa Valley,Australia,569,3.8,18.0,3.0,,4.0,2.25,3.5,https://www.vivino.com/GB/en/au-dutschke-sun-dried-shiraz/w/18212
18218,Ventisquero Reserva Chardonnay,Reserva Chardonnay,2,White Wine,Casablanca Valley,Ventisquero,Maipo Valley,Chile,4733,3.6,13.0,2.1580908,,3.7035394,2.8655715,,https://www.vivino.com/GB/en/ventisquero-reserva-chardonnay/w/18218
18223,Ventisquero Reserva Merlot,Reserva Merlot,1,Red Wine,Maipo Valley,Ventisquero,Maipo Valley,Chile,3659,3.5,13.0,1.9795618,,3.8732877,2.1181643,1.9949317,https://www.vivino.com/GB/en/ventisquero-reserva-merlot/w/18223
18226,Page Mill Chandler Vineyard Chardonnay,Chandler Vineyard Chardonnay,2,White Wine,Livermore Valley,Page Mill,Livermore Valley,United States,34,3.9,0.0,3.0,,5.0,2.4414635,,https://www.vivino.com/GB/en/page-mill-chardonnay/w/18226
18229,Ventisquero Reserva Pinot Noir,Reserva Pinot Noir,1,Red Wine,Casablanca Valley,Ventisquero,Maipo Valley,Chile,9601,3.5,13.0,2.9205525,,2.7942748,1.6567464,1.5983242,https://www.vivino.com/GB/en/ventisquero-reserva-pinot-noir/w/18229
18236,Ceàgo Vinegarden Kathleen's Vineyard Sauvignon Blanc,Kathleen's Vineyard Sauvignon Blanc,2,White Wine,Mendocino,Ceàgo Vinegarden,Clear Lake,United States,22,3.8,13.5,4.0759373,,3.0,1.0,,https://www.vivino.com/GB/en/ceago-vinegarden-kathleen-s-vineyard-sauvignon-blanc/w/18236
18238,Ceàgo Vinegarden Del Lago Syrah,Del Lago Syrah,1,Red Wine,Clear Lake,Ceàgo Vinegarden,Clear Lake,United States,18,3.4,14.0,3.017857,,4.5,1.2142857,3.8392856,https://www.vivino.com/GB/en/ceago-vinegarden-del-lago-syrah/w/18238
18239,Ceàgo Vinegarden Ella's Vineyard Chardonnay,Ella's Vineyard Chardonnay,2,White Wine,Clear Lake,Ceàgo Vinegarden,Clear Lake,United States,11,4.1,13.5,3.1969697,,4.212121,2.4015152,,https://www.vivino.com/GB/en/ceago-vinegarden-ella-s-vineyard-chardonnay/w/18239
18245,Ceàgo Vinegarden Camp Masút Merlot,Camp Masút Merlot,1,Red Wine,Redwood Valley,Ceàgo Vinegarden,Clear Lake,United States,17,3.9,14.0,1.5,,4.02,1.4928,2.09,https://www.vivino.com/GB/en/ceago-vinegarden-camp-masut-merlot/w/18245
18248,Marqués de Requena Shiraz - Tempranillo,Shiraz - Tempranillo,1,Red Wine,Valencia,Marqués de Requena,Valencia,Spain,500,3.5,12.5,2.7416813,,3.5290706,1.4932742,2.637876,https://www.vivino.com/GB/en/marques-de-requena-shiraz-tempranillo/w/18248
18251,Marqués de Requena Crianza,Crianza,1,Red Wine,Valencia,Marqués de Requena,Valencia,Spain,1118,3.6,13.0,2.977304,,3.6223528,1.515915,2.80183,https://www.vivino.com/GB/en/marques-de-requena-crianza/w/18251
18252,Marqués de Requena Reserva,Reserva,1,Red Wine,Valencia,Marqués de Requena,Valencia,Spain,556,3.7,13.0,3.2037141,,3.4090202,1.6531429,3.0529387,https://www.vivino.com/GB/en/marques-de-requena-reserva/w/18252
18253,Marqués de Requena Gran Reserva,Gran Reserva,1,Red Wine,Utiel-Requena,Marqués de Requena,Valencia,Spain,643,4.0,13.0,3.0868182,,3.7363257,1.6025,2.7280302,https://www.vivino.com/GB/en/marques-de-requena-gran-reserva/w/18253
18258,Torre Oria Gran Reserva,Gran Reserva,1,Red Wine,Valencia,Torre Oria,Valencia,Spain,2459,3.5,13.0,3.1571074,,3.7970297,1.5766866,2.9470732,https://www.vivino.com/GB/en/torre-oria-gran-reserva/w/18258
18259,Torre Oria Cava Brut,Cava Brut,3,Sparkling,Cava,Torre Oria,Valencia,Spain,1327,3.5,12.0,3.537783,3.888485,3.0434608,,,https://www.vivino.com/GB/en/torre-oria-cava-brut/w/18259
